timestamp_utc,valid,error,seq_gap,seq,d_pct,v_mv,i_ma,p_mw,mppt,fault,chk,computed_chk,udp_host,udp_port,raw_line
2026-07-12T17:48:27.175621+00:00,1,,0,3465,0,12000,500,6000,hd,0,D8,D8,127.0.0.1,5005,"p3,seq=03465,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=D8,raw=00"
2026-07-12T17:48:28.183414+00:00,1,,0,3466,0,12000,500,6000,hd,0,DB,DB,127.0.0.1,5005,"p3,seq=03466,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=DB,raw=00"
2026-07-12T17:48:29.195806+00:00,1,,0,3467,0,12000,500,6000,hd,0,DA,DA,127.0.0.1,5005,"p3,seq=03467,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=DA,raw=00"
2026-07-12T17:48:30.199460+00:00,1,,0,3468,0,12000,500,6000,hd,0,DD,DD,127.0.0.1,5005,"p3,seq=03468,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=DD,raw=00"
2026-07-12T17:48:31.205975+00:00,1,,0,3469,0,12000,500,6000,hd,0,DC,DC,127.0.0.1,5005,"p3,seq=03469,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=DC,raw=00"
2026-07-12T17:48:32.213989+00:00,1,,0,3470,0,12000,500,6000,hd,0,DF,DF,127.0.0.1,5005,"p3,seq=03470,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=DF,raw=00"
2026-07-12T17:48:33.218907+00:00,1,,0,3471,0,12000,500,6000,hd,0,DE,DE,127.0.0.1,5005,"p3,seq=03471,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=DE,raw=00"
2026-07-12T17:48:34.231299+00:00,1,,0,3472,0,12000,500,6000,hd,0,C1,C1,127.0.0.1,5005,"p3,seq=03472,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=C1,raw=00"
2026-07-12T17:48:35.238078+00:00,1,,0,3473,0,12000,500,6000,hd,0,C0,C0,127.0.0.1,5005,"p3,seq=03473,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=C0,raw=00"
2026-07-12T17:48:36.242299+00:00,1,,0,3474,0,12000,500,6000,hd,0,C3,C3,127.0.0.1,5005,"p3,seq=03474,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=C3,raw=00"
2026-07-12T17:48:37.249801+00:00,1,,0,3475,0,12000,500,6000,hd,0,C2,C2,127.0.0.1,5005,"p3,seq=03475,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=C2,raw=00"
2026-07-12T17:48:38.261657+00:00,1,,0,3476,0,12000,500,6000,hd,0,C5,C5,127.0.0.1,5005,"p3,seq=03476,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=C5,raw=00"
2026-07-12T17:48:39.266588+00:00,1,,0,3477,0,12000,500,6000,hd,0,C4,C4,127.0.0.1,5005,"p3,seq=03477,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=C4,raw=00"
2026-07-12T17:48:40.272650+00:00,1,,0,3478,0,12000,500,6000,hd,0,C7,C7,127.0.0.1,5005,"p3,seq=03478,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=C7,raw=00"
2026-07-12T17:48:41.278466+00:00,1,,0,3479,0,12000,500,6000,hd,0,C6,C6,127.0.0.1,5005,"p3,seq=03479,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=C6,raw=00"
2026-07-12T17:48:42.291633+00:00,1,,0,3480,0,12000,500,6000,hd,0,C9,C9,127.0.0.1,5005,"p3,seq=03480,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=C9,raw=00"
2026-07-12T17:48:43.296545+00:00,1,,0,3481,0,12000,500,6000,hd,0,C8,C8,127.0.0.1,5005,"p3,seq=03481,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=C8,raw=00"
2026-07-12T17:48:44.302182+00:00,1,,0,3482,0,12000,500,6000,hd,0,CB,CB,127.0.0.1,5005,"p3,seq=03482,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=CB,raw=00"
2026-07-12T17:48:45.309463+00:00,1,,0,3483,0,12000,500,6000,hd,0,CA,CA,127.0.0.1,5005,"p3,seq=03483,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=CA,raw=00"
2026-07-12T17:48:46.315619+00:00,1,,0,3484,0,12000,500,6000,hd,0,CD,CD,127.0.0.1,5005,"p3,seq=03484,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=CD,raw=00"
2026-07-12T17:48:47.326738+00:00,1,,0,3485,0,12000,500,6000,hd,0,CC,CC,127.0.0.1,5005,"p3,seq=03485,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=CC,raw=00"
2026-07-12T17:48:48.334190+00:00,1,,0,3486,0,12000,500,6000,hd,0,CF,CF,127.0.0.1,5005,"p3,seq=03486,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=CF,raw=00"
2026-07-12T17:48:49.339389+00:00,1,,0,3487,0,12000,500,6000,hd,0,CE,CE,127.0.0.1,5005,"p3,seq=03487,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=CE,raw=00"
2026-07-12T17:48:50.345834+00:00,1,,0,3488,0,12000,500,6000,hd,0,F1,F1,127.0.0.1,5005,"p3,seq=03488,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=F1,raw=00"
2026-07-12T17:48:51.355898+00:00,1,,0,3489,0,12000,500,6000,hd,0,F0,F0,127.0.0.1,5005,"p3,seq=03489,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=F0,raw=00"
2026-07-12T17:48:52.364503+00:00,1,,0,3490,0,12000,500,6000,hd,0,F3,F3,127.0.0.1,5005,"p3,seq=03490,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=F3,raw=00"
2026-07-12T17:48:53.370478+00:00,1,,0,3491,0,12000,500,6000,hd,0,F2,F2,127.0.0.1,5005,"p3,seq=03491,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=F2,raw=00"
2026-07-12T17:48:54.375569+00:00,1,,0,3492,0,12000,500,6000,hd,0,F5,F5,127.0.0.1,5005,"p3,seq=03492,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=F5,raw=00"
2026-07-12T17:48:55.383074+00:00,1,,0,3493,0,12000,500,6000,hd,0,F4,F4,127.0.0.1,5005,"p3,seq=03493,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=F4,raw=00"
2026-07-12T17:48:56.393001+00:00,1,,0,3494,0,12000,500,6000,hd,0,F7,F7,127.0.0.1,5005,"p3,seq=03494,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=F7,raw=00"
2026-07-12T17:48:57.401659+00:00,1,,0,3495,0,12000,500,6000,hd,0,F6,F6,127.0.0.1,5005,"p3,seq=03495,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=F6,raw=00"
