timestamp_utc,rx_count,action,sender,seq,seq_gap,valid,error,forward_host,forward_port,raw_line
2026-08-05T10:22:17.151692+00:00,39,forward,127.0.0.1:65520,38,0,1,,127.0.0.1,5011,"trk,seq=00038,pan=105.51,tilt=094.73,sun_pan=078.55,sun_tilt=084.94,err=28.68,state=seeking,ldr=3682/2875/4067/3260"
2026-08-05T10:22:18.154384+00:00,40,forward,127.0.0.1:65520,39,0,1,,127.0.0.1,5011,"trk,seq=00039,pan=103.31,tilt=093.71,sun_pan=074.96,sun_tilt=083.65,err=30.08,state=seeking,ldr=3653/2815/4044/3206"
2026-08-05T10:22:19.168239+00:00,41,forward,127.0.0.1:65520,40,0,1,,127.0.0.1,5011,"trk,seq=00040,pan=101.02,tilt=092.66,sun_pan=071.50,sun_tilt=082.38,err=31.25,state=seeking,ldr=3628/2764/4023/3159"
2026-08-05T10:22:20.171025+00:00,42,forward,127.0.0.1:65520,41,0,1,,127.0.0.1,5011,"trk,seq=00041,pan=098.65,tilt=091.59,sun_pan=068.19,sun_tilt=081.13,err=32.21,state=seeking,ldr=3605/2722/4004/3121"
2026-08-05T10:22:21.168967+00:00,43,forward,127.0.0.1:65520,42,0,1,,127.0.0.1,5011,"trk,seq=00042,pan=096.23,tilt=090.51,sun_pan=065.05,sun_tilt=079.92,err=32.93,state=seeking,ldr=3588/2690/3989/3091"
2026-08-05T10:22:22.166892+00:00,44,forward,127.0.0.1:65520,43,0,1,,127.0.0.1,5011,"trk,seq=00043,pan=093.78,tilt=089.42,sun_pan=062.12,sun_tilt=078.73,err=33.41,state=seeking,ldr=3576/2669/3979/3072"
2026-08-05T10:22:23.164218+00:00,45,forward,127.0.0.1:65520,44,0,1,,127.0.0.1,5011,"trk,seq=00044,pan=091.30,tilt=088.32,sun_pan=059.41,sun_tilt=077.59,err=33.65,state=seeking,ldr=3570/2658/3974/3062"
2026-08-05T10:22:24.166024+00:00,46,forward,127.0.0.1:65520,45,0,1,,127.0.0.1,5011,"trk,seq=00045,pan=088.83,tilt=087.23,sun_pan=056.95,sun_tilt=076.49,err=33.64,state=seeking,ldr=3570/2659/3974/3062"
2026-08-05T10:22:25.167680+00:00,47,forward,127.0.0.1:65520,46,0,1,,127.0.0.1,5011,"trk,seq=00046,pan=086.37,tilt=086.14,sun_pan=054.76,sun_tilt=075.45,err=33.38,state=seeking,ldr=3577/2670/3980/3073"
2026-08-05T10:22:26.168654+00:00,48,forward,127.0.0.1:65520,47,0,1,,127.0.0.1,5011,"trk,seq=00047,pan=083.96,tilt=085.06,sun_pan=052.85,sun_tilt=074.45,err=32.87,state=seeking,ldr=3589/2693/3991/3094"
2026-08-05T10:22:27.171660+00:00,49,forward,127.0.0.1:65520,48,0,1,,127.0.0.1,5011,"trk,seq=00048,pan=081.60,tilt=083.99,sun_pan=051.24,sun_tilt=073.52,err=32.12,state=seeking,ldr=3607/2726/4006/3125"
2026-08-05T10:22:28.173404+00:00,50,forward,127.0.0.1:65520,49,0,1,,127.0.0.1,5011,"trk,seq=00049,pan=079.32,tilt=082.94,sun_pan=049.94,sun_tilt=072.64,err=31.13,state=seeking,ldr=3629/2769/4026/3165"
2026-08-05T10:22:29.176419+00:00,51,forward,127.0.0.1:65520,50,0,1,,127.0.0.1,5011,"trk,seq=00050,pan=077.14,tilt=081.91,sun_pan=048.97,sun_tilt=071.83,err=29.92,state=seeking,ldr=3656/2821/4048/3214"
2026-08-05T10:22:30.180989+00:00,52,forward,127.0.0.1:65520,51,0,1,,127.0.0.1,5011,"trk,seq=00051,pan=075.06,tilt=080.91,sun_pan=048.33,sun_tilt=071.10,err=28.48,state=seeking,ldr=3684/2883/4071/3270"
